,title,description,max_salary,pay_period,location,med_salary,min_salary,formatted_work_type,applies,remote_allowed,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,work_type,currency,compensation_type,normalized_salary
10709,Payroll Specialist,"Ledgent Finance and Accounting has an immediate opening for a Payroll Specialist in Manchester, NH. The ideal candidate will have 3+ years of experience and will be fluent in ADP time entry. Location: Manchester, NH (On-Site)Role: Payroll Specialist (Direct Hire)Pay: $60,000-$63,000 Premise: To provide support to the accounting department related to payroll and general accounting functions.  Responsibilities: · Process payroll on a bi-weekly basis.· Track and administer PTO (Paid Time Off) per firm policy.· Assist with managing payroll deductions for benefit plans.· Ensure confidentiality related to payroll and benefit information submitted to accounting.· Support 401k (IE: uploading of deferrals, reporting and calculations for employee matching contributions)· Assist with payroll related budgets.· Monthly bank reconciliation· General ledger support · Support the Director of Finance and Accounting Manager with special projects, as needed.   Qualifications: · Associate degree or equivalent experience required, bachelor's degree preferred· Proficient in MS Excel · ADP Time and attendance system experience preferred.· Excellent communication skills, both verbal and written· Must be accurate in terms of typing and payroll entry/review.  For immediate consideration, please email or call 617/865-2752.
All qualified applicants will receive consideration for employment without regard to race, color, national origin, age, ancestry, religion, sex, sexual orientation, gender identity, gender expression, marital status, disability, medical condition, genetic information, pregnancy, or military or veteran status. We consider all qualified applicants, including those with criminal histories, in a manner consistent with state and local laws, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance.",63000.0,YEARLY,"Manchester, NH",,60000.0,Full-time,,,https://www.linkedin.com/jobs/view/3887103331/?trk=jobs_biz_prem_srch,,SimpleOnsiteApply,1715261508000.0,,Entry level,,FULL_TIME,USD,BASE_SALARY,61500.0
115989,"Hollister Co. - Assistant Manager, Opry Mills","Company Description

Abercrombie & Fitch Co. (NYSE: ANF) is a leading, global specialty retailer of apparel and accessories for men, women and kids through five renowned brands. The iconic Abercrombie & Fitch brand was born in 1892 and aims to make every day feel as exceptional as the start of a long weekend. abercrombie kids sees the world through kids’ eyes, where play is life and every day is an opportunity to be anything and better anything. The Hollister brand believes in liberating the spirit of an endless summer inside everyone and making teens feel celebrated and comfortable in their own skin. Gilly Hicks, offering intimates, loungewear and sleepwear, is designed to invite everyone to embrace who they are underneath it all. Social Tourist, the creative vision of Hollister and social media personalities, Dixie and Charli D’Amelio, offers trend forward apparel that allows teens to experiment with their style, while exploring the duality of who they are both on social media and in real life.

The brands share a commitment to offering products of enduring quality and exceptional comfort that allow consumers around the world to express their own individuality and style. Abercrombie & Fitch Co. operates approximately 730 stores under these brands across North America, Europe, Asia and the Middle East, as well as the e-commerce sites www.abercrombie.com, www.abercrombiekids.com, www.hollisterco.com, www.gillyhicks.com, and www.socialtourist.com.

Job Description

The Assistant Manager is a multi-faceted role that merges business strategy, operations, creativity, and people management. Strategically, assistant managers are responsible for driving sales results by analyzing the business and providing best-in-class customer service. They are responsible for overseeing daily store operations including opening and closing routines and driving efficiency in all store processes. Assistant managers leverage their creative expertise through floorset updates, styling recommendations and product knowledge. Assistant managers are also talent leaders, driving everything from recruiting and training to engagement and development. They are expected to show up, bringing their best selves everyday to create an inclusive place of belonging for their team and customers. With a promote from within philosophy, our Assistant managers will build upon their initial foundation and have the opportunity to grow into the future leaders of our store’s organization.

What You’ll Do

Customer ExperienceDrives SalesOMNI Channel FulfillmentStore Presentation and Sales Floor SupervisionStore & Stockroom OperationsStaffing, Scheduling, and Payroll ManagementTraining and DevelopmentCommunicationAsset Protection

Qualifications

What it Takes

Bachelor’s degree OR one year of supervisory experience in a customer-facing roleStrong problem-solving skillsInclusion & Diversity AwarenessAbility to show up in a fast-paced and challenging environmentTeam building skillsSelf-starterStrong interpersonal and communication skillsDrive to achieve resultsAdaptability / FlexibilityMulti-TaskingFashion Interest & Knowledge

Additional Information

What You’ll Get

As an Abercrombie & Fitch Co. (A&F Co.) associate, you’ll be eligible to participate in a variety of benefit programs designed to fit you and your lifestyle. A&F is committed to providing simple, competitive, and comprehensive benefits that align with our Company’s culture and values, but most importantly – with you! We also provide competitive incentives to reward the commitment our associates have for moving our global business forward:

Quarterly Incentive Bonus ProgramPaid Time OffPaid Volunteer Day per Year, allowing you to give back to your communityMerchandise DiscountMedical, Dental and Vision Insurance AvailableLife and Disability InsuranceAssociate Assistance ProgramPaid Parental and Adoption Leave401(K) Savings Plan with Company MatchTraining and DevelopmentOpportunities for Career Advancement, we believe in promoting from withinA Global Team of People Who'll Celebrate you for Being YOU

The starting rate for this position is $21.00 per hour (i.e., the recruiting pay range for this position is $21.00 - $21.00 per hour). The starting rate and range may be modified in the future.

SEE WHAT IT’S LIKE TO #WORKATHCO - FOLLOW US ON INSTAGRAM @LIFEATANF

Abercrombie & Fitch Co. is an Equal Opportunity/Affirmative Action employer",,,"Nashville, TN",,,Full-time,,,https://www.linkedin.com/jobs/view/3905860314/?trk=jobs_biz_prem_srch,https://jobs.smartrecruiters.com/AbercrombieAndFitchCo/743999981651115-hollister-co-assistant-manager-opry-mills?trid=2d92f286-613b-4daf-9dfa-6340ffbecf73,OffsiteApply,1716129276000.0,,Entry level,,FULL_TIME,,,
121693,Lead Substation Engineer,"Header

K&A Engineering Consulting - White Plains, NY is a people-first organization. We value knowledge and learning. We believe in the power of connection, and collaboration, and we seek to build relationships that mean something. We employ some of the best and brightest in the industry and we work hard to maintain a culture that our people can be proud of. Our company has earned its reputation through challenging work, uncompromising precision and continuous learning and adapting.

We strongly believe in building long lasting relationships with our clients and our employees. We love what we do, and our goal is to have the happiest clients and employees in the industry. We deliver a reliable and innovative range of services for dozens of projects around the country. The company’s team members are passionate about engineering, infrastructure, and design, and understand our clients’ business needs and objectives.

Job Overview:

Due to Client growth, we are actively seeking a Lead Substation Engineer to join our in the Waltham, MA.

Responsibilities & Duties:

Performs engineering analyses of the electric distribution system to serve new customer loads. Completes distribution system reliability studies, and contingency plans, reviews capital budget project proposals, prepares NPVs, determines correction of circuit electrical operating deficiencies, etcConducts capacity analyses of key substation equipmentConducts in-depth engineering evaluations of distribution materials, selects proper materials, applications, and equipment for approval, and conducts material failure analyses. May aid customer service groups on power quality uses including investigation, analysis, and mitigationAnalyzes the impact of customer-interconnected distributed generationRecommends necessary system improvement and/or construction projects and provides all necessary documents for those projectsDevelops and implements electric reliability plans, Prepares reports and feasibility studies for submission to managementInterprets and administers company policies and procedures relating to personnel, industrial relations, service extensions, safety, accounting, and purchasingThis position will assign a storm role and be expected to support the client in storm restoration efforts


Qualifications & Skills:

Bachelor’s Degree in Electrical EngineeringTen (10) or more of Power System Engineering Experience RequiredStrong experience leading technical teams Knowledge of distribution design requiredExcellent written and verbal communication skillsProficiency in Microsoft Word and Excel",,,"Waltham, MA",,,Full-time,,,https://www.linkedin.com/jobs/view/3906249283/?trk=jobs_biz_prem_srch,https://careers.kapower.us/jobs/2593/Lead+Substation+Engineer?mode=apply&iis=LinkedIn&lang=en-US,OffsiteApply,1716157271000.0,,Mid-Senior level,,FULL_TIME,,,
98412,Social Media Intern,"In search of a summer intern!
﻿Ali Rose Mann Digital is a boutique social-media-focused marketing agency that works on a wide variety of dynamic clients. More info about the company can be found on the website: https://www.armddigital.com/
Details25-30 hours per week (schedule can be customized to the person)Hybrid In-person and remote (can be customized to the person)
ResponsibilitiesCommunity management (respond to messages and comments on behalf of the clients)Manual Posts for clientsTikTok/Instagram ideation + creation (Helping us quickly hop on TikTok & Instagram trends)Influencer management for a clothing clientContent concept development for clientsScheduling (learning to use scheduling platforms)...and more!
RequirementsIn the process of receiving a degree in Marketing, Design or relevant majorsRelevant marketing experienceBonus if you have graphic design + video editing experienceLooking to learn about all things social media + digital marketingSomeone ready to wear many hats and jump right in!",,HOURLY,"New York, NY",15.0,,Part-time,27.0,,https://www.linkedin.com/jobs/view/3904975032/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1729008354000.0,,,,PART_TIME,USD,BASE_SALARY,31200.0
116125,Family Medicine Resident,"Welcome! We’re excited you’re considering an opportunity with us! To apply to this position and be considered, click the Apply button located above this message and complete the application in full. Below, you’ll find other important information about this position.      Job Description
MINIMUM QUALIFICATIONS: 
EDUCATION, CERTIFICATION, AND/OR LICENSURE: 
1. Resident eligibility and selection for participation on the Residency Training Program is based on the requirements outlined in the ACGME as necessary for continued accreditation. Due to the large number of possible variations available in medical education, these requirements are lengthy and will not be repeated here. In summary, the Resident must have successfully completed Medical School and possess a valid D.O. or M.D. degree. The Program selects from eligible applicants based upon preparedness and ability to benefit from the training available. Aptitude, academic credentials, personal characteristics and ability to communicate are considered in the selection process. 
2. Our program fully supports and participates in the National Resident Matching Program (NRMP). Interested students complete the necessary application and participate in an on site interview; final program selection is determined by computer matching. 
3. Under section 30-3-13 of the West Virginia Medical Practice Act, a person shall not engage in the practice of medicine or surgery unless actually licensed in the state to do so. Specific exception to this provision is provided for persons engaged in graduate medical training in a program approved by the Liaison Committee on Graduate Medical Education. Similar exception is provided for medical students and physician assistants enrolled in accredited schools. No provision is made for ""training permits@ or other similar documents used in some states. By convention, residents in this state are granted the privilege to practice medicine only under the auspices of the hospital at which they are training, and are authorized to perform only those professional activities specifically delineated by hospital policies and procedures. (See attached ""Medical Licensure Guidelines"" and APrescription Writing Guidelines@.) Under present law, residents are not eligible for licensure until after completing at least one year of postgraduate training (three years for foreign medical graduates). Residents are encouraged to obtain their West Virginia medical license as soon as all the necessary requirements are met. 
 
CORE DUTIES AND RESPONSIBILITIES: The statements described here are intended to describe the general nature of work being performed by people assigned to this position. They are not intended to be constructed as an all-inclusive list of all responsibilities and duties. Other duties may be assigned. 
 
1. Performs and/or reviews the initial assessment upon admission, and does continuing assessments thereafter, implementing and evaluating patient care, according to policy, using professional judgment to determine the physical, psychological, and social needs of the patient and documents this in the chart 95% of the time. 
2. Makes clinical rounds to establish personal contact with each patient on clinical area 100% of the time. 
3. Demonstrates competency in technical and clinical skills, completes skills checklist, and correctly performs these skills daily as required 100% of the time. 
4. Administers medications by all acceptable routes, as deemed necessary, and according to accepted policy and procedure 100% of the time. 
5. Communicates plan of care and patient needs effectively, in a multi-disciplinary fashion, to any and all involved persons and/or departments 100% of the time. 
6. Completely and accurately transcribes and carries out faculty or attending orders 100% of the time. 
7. Anticipates teaching needs of each patient; modifying, adapting, executing, and evaluating the plan on a regular basis 90% of the time. 
8. Develops a discharge plan, individualized to meet the needs of the patient and family 90% of the time. 
9. Uses best efforts, judgment and diligence in a professional manner in performing duties, tasks and responsibilities of whatever nature assigned to the Resident for the duration of the program. 
 
PHYSICAL REQUIREMENTS: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. 
 
1. Frequent walking, standing, stooping, kneeling, reaching, pushing, pulling, lifting, grasping, and feeling are necessary body movements utilized in performing assigned duties throughout the work shift. 
2. Must be able to lift, move, and position patients of all weights, with varying amounts of assistance in a fair manner on a regular and recurring basis. 
3. Must be able to read and write legibly in English. 
4. Hearing within normal range is required (i.e.: to assess breath sounds, bowel sounds, apical pulse, monitors, etc.). 
5. Visual acuity must be within normal range. 
6. Must be able to perform heavy work: Exerting in excess of 100 pounds of force occasionally, and/or up to 50 pounds of force frequently, and/or up to 20 pounds of force constantly to move objects. 
 
WORKING ENVIRONMENT: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. 
 
1. Working protracted or irregular hours. 
2. Working around biohazards. 
3. Working around infectious diseases. 
4. Working with or near the deceased. 
5. Working with hands in water. 
6. Working with electrical hazards associated with patient care equipment. 
 
SKILLS AND ABILITIES:  Additional Job Description:  Scheduled Weekly Hours:   40 Shift:   Exempt/Non-Exempt: United States of America (Exempt) Company:   WH Wheeling Hospital Inc. Cost Center: 8040 WH Family Medicine Address:  1 Medical Park Drive  Wheeling  West Virginia",,,"Wheeling, WV",,,Full-time,,,https://www.linkedin.com/jobs/view/3905863402/?trk=jobs_biz_prem_srch,https://wvumedicine.wd1.myworkdayjobs.com/WVUH/job/Wheeling-Hospital-WHH/Family-Medicine-Resident_JR24-37222?__jbsrc=16BBEA3D-3310-467C-95B3-068AB089A192,OffsiteApply,1716129868000.0,,Internship,,FULL_TIME,,,
32178,Relief Veterinarian,"Happy Vets Make Happy Pets
We’re looking for passionate, driven veterinarians who want to provide high-quality animal healthcare while taking control of their careers.
Roo’s changing the way veterinary medicine is practiced by empowering veterinarians to take control of their careers and their lives! By connecting hospitals in need with highly skilled doctors through our industry-leading relief work platform, Roo keeps hospital doors open and clients seen while improving the quality of life for all veterinarians. We utilize state-of-the-art technology to change the nature of how veterinarians do the work they love.
Build your ideal schedule and work and earn as much or as little as you like with no penalties or requirementsEarn nearly twice as much per hour than the average full-time veterinarianGet paid in just two days via direct depositBook shifts anywhere using Roo’s mobile app or online platformEnjoy free CE events, webinars, and other perks as a valued part of the Roo Community!
This is an independent contractor position (1099) that gives you total freedom to pick up shifts wherever and whenever you choose.
Interested in joining the Roo-volution?
A relief veterinarian is an independent contractor who fills in for staff veterinarians when they’re sick, vacationing, or out on leave — like a substitute teacher for the animal healthcare industry. This ensures animal hospitals can continue to serve clients and care for pets while allowing their full-time staff to take time off, aiding their work-life balance as well.Roo Veterinarians add value to animal hospitals by bringing fresh perspectives from their broad experience in the field of animal healthcare.
QualificationsMust be licensed in any state you intend to practice inMust have experience practicing veterinary medicine as a DVMGreat clinical skills, knowledge, and passion for veterinary medicineStrong communication skills and ability to be flexibleAbility to keep good medical records and adapt to different hospital softwareIf you hold multiple licenses, you can work anywhere Roo offers shifts!A DEA license is not required but may be a prerequisite at certain hospitals
Expected PayShift pay will always be posted on the shift card before you request a shift so you’ll know exactly what to expect. All payments will be directly deposited into your bank account within two business days, so you’ll never be left waiting or wondering.
Expected HoursVaries by shift, can be anywhere from 4 to 10 hours per shift. The hours of your shift will always be posted on the shift card before you book so you’ll know exactly what to expect.
Explore Veterinary SpecialtiesRoo gives you the opportunity to try new things risk-free for just one shift, like a new hospital or even a new specialty! Feel free to explore and only work at hospitals that are a good fit for you.
Diversity, Equity, InclusionDiversity, equity, and inclusion are essential values at Roo. We know we'll do our best and most impactful work when we feel we're represented and we belong. We're proud to actively recruit and hire talented people from a wide variety of backgrounds and experiences. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",155.0,HOURLY,"Boston, MA",,103.0,Contract,,,https://www.linkedin.com/jobs/view/3894891421/?trk=jobs_biz_prem_srch,https://roo.vet/register?utm_source=linkedin&utm_medium=li_job_post&utm_campaign=ma_launch,OffsiteApply,1715447940000.0,,Associate,,CONTRACT,USD,BASE_SALARY,268320.0
108656,Telemetry Registered Nurse,"Job Description

Facility: Concord Hospital Laconia/Franklin Position: Registered Nurse, Telemetry Location: Laconia, NH Shift Details: Night Shift  Hours per Week: 36 Shift Hours: - Duration: 13 weeksOn Call: No

Benefits

 Bluebird Features and Benefits  : 

 Competitive compensation & stipends  Weekly pay  Day 1 Health Benefits - Medical , Vision, Dental plan  401k plan with Vanguard Guaranteed Stipends on Hospital canceled shiftsDouble OT on 48-hour work weeksPaid orientation for onboarding requirementsPaid medical requirements by Bluebird Nurse Referral Bonus Program Extension bonusesNo off-shore recruiters Dedicated recruiter available 24/7 to assist with all of your travel contract needs Exclusive contract opportunitiesGovernment contract opportunities",,,"Laconia, NH",,,Contract,,,https://www.linkedin.com/jobs/view/3905340556/?trk=jobs_biz_prem_srch,,SimpleOnsiteApply,1716076256000.0,,Mid-Senior level,,CONTRACT,,,
81478,Assistant Program Director - Full Time,"Job Description

We are looking for an Assistant Program Director to join our team.

This position will work with and functions under the supervision of the Campus Program Director of the Vocational Nursing Program.

Assists the Director with planning, developing, managing, updating and evaluating all aspects of the programAssists with preparing data and other written materials for all required state and Board requirements, reports, proposals, self-studies, surveys, and site visitsAssists with identifying and obtaining outside resources for the nursing programAssesses the ability of the agency to provide clinical experience that meet the objectives for application of theory and clinical course objectivesEnsures Facility Approval Applications are completed and approved prior to initiating clinical rotationsEnsures that student theory and clinical evaluations are completed in a timely manner by assigned facultyMaintains evaluations by students, clinical sites representatives, and faculty at completion of each clinical rotationAssist with strategic planning and assessment of instructional initiatives to ensure quality of programMakes continuous efforts to improve quality of instructionEnsures that clinical assignments, clinical rotation matrixes and calendars are completed in a timely mannerEnsures that faculty is consistently following policies and guidelines as related to student clinical rotation experience.Reviews student learning material on an ongoing basisEnsures that student records are maintained according to policies.Submits required program reports and forms to the Director of the program in a timely mannerKeeps current with new technologies and safety regulations.Provides advising support and planning assistance to potential studentsEnsures that all students have completed the necessary documentation and meet the requirements for graduation and the state licensing examTeach (either theory or clinical) half of the timeOther duties as assigned

Qualifications

A masters or higher degree from an accredited college or university (including course work in nursing, education, or administration).A minimum of three (3) years experience leading a nursing program.A minimum of three (3) years experience as a full-time faculty in pre- or post-licensure nursing program.A minimum of one (1) year experience teaching in an online teaching and learning environment.A minimum four (4) year of continuous full-time experience as a registered nurse providing direct patient care in geriatrics, medical-surgical, mental health psychiatric nursing, obstetrics or pediatrics within the past five (5) years.Must hold a valid, active license issued by the California Board of Registered Nursing (BRN).Strong written and oral communication and presentation skills.Action oriented, innovative thinking, and flexible.Proficient in Microsoft Office Ability to prioritize, multi-task, and work within a deadline-oriented environment.",,,"Sacramento, CA",,,Full-time,,,https://www.linkedin.com/jobs/view/3903867828/?trk=jobs_biz_prem_srch,https://www-team-builders-com.filesusr.com/html/992ca9_7e61495549645dc32056dd6dc767be36.html#!/11c309e8-6058-4eb8-989a-2045c49cc890/detail,OffsiteApply,1716082193000.0,,Mid-Senior level,,FULL_TIME,,,
45651,Power BI Architect, • Providing solutions for BI through Power BI• Must have 5 years of experience in data-specific roles.• At least 3-5 years of experience in PowerBI Development & Administration• Ability to work in team environment and client interfacing skills• Analytical and Communication skills• Understand the Power BI environment and Perform Administration and Architecture.• Detailed Design and Architecture Exp needed on Power BI and the database (Cloud to Cloud) transfers. • Hands on Experience in Power BI Report Administration & Architecture.,,,"Orlando, FL",,,Full-time,3.0,,https://www.linkedin.com/jobs/view/3900959915/?trk=jobs_biz_prem_srch,,SimpleOnsiteApply,1715984898000.0,,,,FULL_TIME,,,
119861,Fountain Installer (MEM),"PBNA $22.85 / hour

CLICK HERE to view our MEM (Marketing Equipment Maintenance) Job Preview Video

RATE: $22.85 / hour

This position delivers and installs vending/fountain equipment as needed. Position uses lifting and equipment to load/unload and move large fountain machines/units at customer accounts. Prepares equipment for delivery and maintains all paperwork associated with equipment installation and removal. Installs fountain beverage systems from start to finish. May also assist with moving, storing, and organizing equipment in inventory at the facility. This position requires lifting, pushing/pulling and moving vending/fountain machines that weigh approximately 800-1200 pounds several times over 10-12 hour period.

PRIMARY ACCOUNTABILITIES:

Unload and load new and used vendors or fountain for daily deliveryInstall vendors and load/reload with products as necessaryRepair and perform preventative maintenance on vending/fountain equipmentEducate customers on basic equipment repair and upkeep proceduresCollect accurate and complete equipment informationMaintain parts, tools, and equipmentFollow DOT regulationsComplete required paperwork and maintain accurate customer/work order records for each deliveryTransport miscellaneous items such as compressors for repair/scrap, cardboard for recycle, etc.Fill install and adjust to proper mix of productEstablish positive customer relationshipsRegular, reliable, predictable attendance

BASIC QUALIFICATIONS:

At least 18 year of age 21 or older if CDL required.Valid CDL license (if required)Pass DOT physical and DOT Road Test (if applicable)Follow DOT regulations 

HELPFUL EXPERIENCE:

Working with mechanical systems (e.g., knowing mechanical concepts, troubleshooting and repairing appliances, performing basic household repair in plumbing, circuits, fuses, and electrical components, operating hand tools and power tools, etc.)Generating and setting work schedules (e.g., determining the priority of work projects, building work schedules, scheduling tasks during the day, etc.)Operating trucks requiring a CDL Class B license (e.g., performing basic functions like driving forwards, driving backwards, or maneuvering in tight spaces, etc.)Serving customers (e.g., resolving customer issues, ensuring appropriate communication with store managers, following up on customer requests, etc.)Completing basic paperwork (e.g., filling out paperwork, completing documentation to turn in to supervisor, filling out timecards mileage, etc.) 

Our Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901-4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.

>

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.

PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy.

Please view our Pay Transparency Statement",,HOURLY,"Indianapolis, IN",22.85,,Full-time,,,https://www.linkedin.com/jobs/view/3906226728/?trk=jobs_biz_prem_srch,https://www.pepsicojobs.com/jobs/5001037325006?lang=en-us&iisn=linkedin,OffsiteApply,1716154819000.0,,,,FULL_TIME,USD,BASE_SALARY,47528.0
79820,Java Developer,"Client: Banking/Finance? 
Location: Newark, DE (Hybrid)
Position: Java Developer
Duration: 18-24 months on W2?
 
Job Description:

7+ years of web and rest services application programming experience .Net, J2EE/Java. Working knowledge of software frameworks such as Struts, Spring, Spring MVC, Groovy, Scala, Open Source components, Rest API etc.,
As key developer onshore to develop critical Bank application Development in agile practice and production implementation and support
Core Java, WebSphere application server Xtreme cache implementation. Java concurrent processing, Web Services API development, SOAP Services, REST services. Object oriented Design pattern implementation.
Excellent communication and organization skill, leading hands on development group
Front End technologies - HTML5, CSS3, SASS, ES6, jQuery, Nodejs, Responsive Web Design.
Hands on experience with markup languages and templating Engines such as handlebars.js and JSX.
Working experience with modern JavaScript frameworks and libraries such as Vue.js, React.
Familiarity with browser testing and debugging and resolve cross browser issue.
Build ADA friendly apps with JAWS, talkback, voice over.",,,"Newark, DE",,,Contract,11.0,,https://www.linkedin.com/jobs/view/3903832056/?trk=jobs_biz_prem_srch,https://collabera.com/join-us/careers/career-detail/?post=348469&refid=col_linkedin,OffsiteApply,1716067473000.0,,Entry level,"REST API,Websphere,Core Java",CONTRACT,,,
114453,Cyber Security Engineer - Hybrid - No C2C,"Title: Cyber Security Engineer ( Security Configuration Compliance SME) Location: Charlotte, NC (Hybrid) Rate: $60/hrNote: This position is a contract on W2, and is NOT open to C2C
Top Skills**Familiarity with Qualys; **Depth of understanding in Systems Administration – knowledge of Unix operating system; ** Intermediate competency writing scripts; **Must have excellent communication skills 
Job DescriptionSupports the configuration compliance baseline program which scans for deviations from prescribed settings in technologies such as operating systems, middleware components, databases, and network appliances.Updates existing baseline documents annually or creates new baseline documents as required. Ensures baselines effectively secure key technologies by starting with CIS benchmarks and with subject matter experts to refine baselines.Configures scans within the scanning tool to match the approved baseline document. Ensures these scans run regularly and distributes the results to the technology personnel who will resolve deviations. Works with technology support partners and the scanning vendor to resolve any problems with the scanning tool.Reports on compliance adherence and spearheads governance efforts to ensure the technology personnel resolve the deviations on time, showing follow-up and escalation.
Mandatory SkillsSolid working experience and knowledge of Unix operating systems, Windows OS and services to include domains/active directory/GPOs Understanding of databases, web technologies, and network devices Experience with vulnerability and/or configuration compliance scanners Strong verbal and written communications skills Intermediate competency with spreadsheets Intermediate competency writing scripts using python Able to write documentation Ability to identify and solve problems Able to organize meetings, and translate discussed decisions into actions Self-directing with sense of ownership
Desired Skills:Ability to design and document processes Ability to teach others their area or responsibility",,HOURLY,"Charlotte, NC",60.0,,Contract,,,https://www.linkedin.com/jobs/view/3905828153/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1716121540000.0,,Mid-Senior level,,CONTRACT,USD,BASE_SALARY,124800.0
74143,Operations Manager,"We are currently seeking an experienced and energetic Operations Manager with strong safety and leadership qualities to lead our team.

Operations Manager Responsibilities

Helps develop and execute safety goals.Monitors progress of daily operations for drivers and make staffing and routing changes as necessary.Conducts field inspections and audits of all site personnel to ensure proper work proceduresReceives and reviews customer complaints regarding collections programs.Formulates both short-term and long-term goals and action plans with the District ManagerParticipates in regular P&L reviews to ensure budgets labor and material costs are metOversees a variety of complex compliance programs, including environmental, DOT, OSHA, and local permitting.Performs other job-related duties as assigned.

Operations Manager Requirements

Previous operations experience in the Trash Industry required2 or more years of managing in a people driven environmentKnowledge of OSHA, DOT and EPA guidelinesComputer proficiency, including Microsoft Excel/Word and the ability to learn and use company specialized applicationsMust be detail oriented, highly accountable and able to prioritize tasksClass B CDL or the ability to obtain one within 90 daysBachelor’s Degree preferred

Waste Connections is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to disability or protected veteran status.",,,"Rayne, LA",,,Full-time,,,https://www.linkedin.com/jobs/view/3902947205/?trk=jobs_biz_prem_srch,https://careers.wasteconnections.com/us/en/job/WCGWCUUSR74776EXTERNALENUS/Operations-Manager?utm_source=linkedin&utm_medium=phenom-feeds,OffsiteApply,1715873128000.0,,Mid-Senior level,,FULL_TIME,,,
